nome,cpf,idade,data,estado,endereco
Sr. Nicolas Azevedo,036.458.921-33,35,1989-01-18,RIO DE JANEIRO,"estrada de aragão, 1
vila barragem santa lúcia
49120-746 campos / ac"
Kamilly Caldeira,508.379.462-47,44,1979-07-04,MATO GROSSO DO SUL,"via gabriela nascimento
madre gertrudes
45044395 nascimento do galho / ap"
Renan Araújo,186.970.354-57,79,1945-03-06,SÃO PAULO,"travessa vinicius da mata, 52
alta tensão 1ª seção
66380-981 dias do campo / ce"
Vicente Nascimento,054.921.378-32,63,1961-02-22,CEARÁ,"largo vieira
milionario
78970057 dias / df"
Isaac Rocha,873.402.691-69,57,1966-11-30,RIO DE JANEIRO,"área lucas gabriel silveira, 51
anchieta
55284-530 rocha / pe"
Julia Das Neves,819.402.563-05,60,1963-08-28,PARANÁ,"jardim isabelly gomes, 23
nossa senhora de fátima
81186-838 da luz da serra / es"
Breno Rodrigues,196.540.732-34,95,1928-10-24,MARANHÃO,"distrito de silveira
dona clara
14225405 araújo / am"
Isabel Nogueira,968.502.347-65,63,1960-10-21,PIAUÍ,"travessa ana júlia da rocha
miramar
01287083 fogaça do oeste / to"
Anthony Araújo,208.157.463-26,38,1985-09-07,TOCANTINS,"avenida milena pires, 360
vila rica
71412995 pereira / ap"
Sra. Marina Da Cunha,067.152.389-95,55,1968-09-09,AMAZONAS,"rodovia marcelo souza, 25
estrela
24438186 vieira / rn"
Helena Cardoso,853.471.906-39,51,1972-05-29,PARANÁ,"pátio alexandre teixeira, 243
indaiá
21474228 cavalcanti paulista / rr"
Luigi Nunes,593.204.186-24,50,1973-06-17,RORAIMA,"via clara da rosa, 928
castelo
87117-636 caldeira de campos / rr"
Srta. Raquel Da Costa,278.534.619-09,58,1965-05-07,AMAZONAS,"estação ribeiro, 46
venda nova
45512787 silva / pb"
Sra. Ana Vitória Oliveira,120.347.586-17,60,1963-11-01,SANTA CATARINA,"sítio de cavalcanti, 97
juliana
21342254 monteiro de campos / pa"
Luiza Campos,974.281.306-03,52,1972-01-13,TOCANTINS,"condomínio de rodrigues, 52
conjunto providencia
93625-248 da luz / sc"
Lucca Da Paz,526.980.731-95,71,1952-04-14,TOCANTINS,"rodovia vieira, 63
conjunto taquaril
85325522 pires / rn"
Nathan Da Rosa,907.231.564-25,31,1992-11-05,CEARÁ,"recanto de da conceição, 1
paraíso
52583-232 sales / am"
Lívia Silveira,804.125.796-85,61,1962-11-22,MATO GROSSO DO SUL,"setor de azevedo, 375
castanheira
56381800 teixeira das pedras / al"
Isabel Cavalcanti,492.768.130-04,54,1969-05-10,PARÁ,"ladeira pietra cunha, 13
vista alegre
86652477 monteiro / pa"
Rafael Nunes,285.917.604-76,38,1985-08-28,GOIÁS,"vereda davi lucca barbosa, 35
estrela do oriente
38759-767 rodrigues de goiás / go"
Elisa Fogaça,572.840.693-92,95,1928-12-13,MARANHÃO,"rodovia ana júlia araújo, 68
vila real 2ª seção
22775-108 da mata dos dourados / pe"
Agatha Ramos,948.061.752-85,23,2000-12-03,RORAIMA,"distrito de barros, 41
suzana
54500-129 da rocha / rj"
Kamilly Rocha,946.031.875-48,59,1964-09-19,CEARÁ,"feira campos, 17
cruzeiro
01967-483 ribeiro de pires / df"
Antônio Das Neves,435.698.712-82,40,1983-07-31,RIO GRANDE DO SUL,"avenida vitor hugo cardoso, 34
vila são rafael
96831280 da cunha / sc"
Luiz Gustavo Alves,198.506.473-10,45,1978-07-08,RIO GRANDE DO SUL,"rodovia de souza, 63
vila nova dos milionarios
81275-813 rocha / ms"
Emanuella Fernandes,097.184.263-96,87,1936-07-21,RONDÔNIA,"residencial ian da paz, 6
padre eustáquio
41928916 fernandes de correia / pr"
Srta. Ana Beatriz Farias,431.975.068-39,62,1961-08-07,ACRE,"ladeira de da paz, 98
jardim dos comerciarios
48285699 ribeiro / pe"
Yago Monteiro,865.279.143-00,44,1979-06-22,MARANHÃO,"ladeira pereira, 21
buraco quente
50425764 fogaça verde / ba"
Yasmin Gonçalves,017.459.382-14,76,1947-09-26,PARANÁ,"área barros, 46
salgado filho
98637-706 alves de goiás / ba"
Bruna Nascimento,132.695.407-52,34,1989-04-13,RORAIMA,"vereda luiz felipe costa, 70
minaslandia
23088133 moraes / df"
Davi Luiz Nogueira,873.045.912-50,97,1926-12-20,PERNAMBUCO,"vila sales, 97
paquetá
59231544 da luz grande / es"
Ian Monteiro,324.157.968-91,24,1999-12-11,CEARÁ,"favela alana ribeiro, 318
casa branca
79179-607 barros da praia / ms"
Srta. Helena Silva,905.164.728-01,35,1988-11-14,TOCANTINS,"parque freitas, 82
ouro minas
59029142 lima da prata / ac"
Bárbara Novaes,038.496.512-15,88,1935-05-24,AMAZONAS,"trecho bryan da cunha, 1
betânia
61163162 correia verde / pa"
Sr. Pedro Lucas Costela,534.870.296-00,30,1993-08-24,MINAS GERAIS,"esplanada moreira
pindura saia
93675777 da cunha da mata / es"
Rafael Jesus,673.105.482-80,22,2001-08-16,CEARÁ,"campo de barros, 16
silveira
43534-126 duarte do galho / df"
Sra. Alícia Caldeira,051.382.694-70,89,1934-12-04,TOCANTINS,"distrito esther campos, 264
apolonia
13908-226 souza / pa"
Danilo Martins,760.389.541-39,99,1925-03-30,PIAUÍ,"largo pires, 78
bacurau
13125523 sales verde / ap"
Sr. Gabriel Da Rosa,530.641.782-53,49,1974-09-10,ACRE,"campo isabelly freitas
novo santa cecilia
94562211 da mata / ce"
Augusto Teixeira,412.563.970-16,69,1954-11-15,RIO GRANDE DO SUL,"favela maria novaes
savassi
60241424 da costa das flores / rr"
Ana Julia Da Rosa,630.549.782-65,42,1981-10-10,RIO GRANDE DO SUL,"trevo moraes, 5
cônego pinheiro 1ª seção
38769-503 ramos de rocha / sp"
Lucca Barbosa,836.109.275-77,97,1926-06-12,MINAS GERAIS,"rua mendes, 337
penha
06179-472 sales do sul / sp"
Amanda Da Costa,268.935.074-29,23,2000-11-20,MATO GROSSO,"lagoa cardoso, 1
ambrosina
61793-758 da rocha / sp"
Dr. Francisco Cardoso,430.297.815-50,96,1927-10-30,PARANÁ,"lago maitê campos, 31
braúnas
72279-259 costa do sul / to"
Lorena Farias,268.517.934-82,92,1931-04-17,RIO GRANDE DO SUL,"residencial barbosa, 44
zilah sposito
26601655 aragão de goiás / ap"
Anthony Da Costa,935.287.104-97,36,1988-02-13,SANTA CATARINA,"recanto de rocha, 68
conjunto califórnia i
12467-132 jesus do norte / se"
Cauã Rodrigues,107.286.439-87,98,1926-02-11,MATO GROSSO DO SUL,"vale gustavo henrique alves, 50
vila madre gertrudes 4ª seção
75200-837 correia grande / al"
Anthony Barbosa,631.750.489-00,86,1937-08-19,ALAGOAS,"vila farias
vila satélite
80983484 gonçalves de fogaça / rn"
Ana Julia Almeida,179.386.425-09,22,2001-07-20,MATO GROSSO,"fazenda de porto, 3
senhor dos passos
60244655 mendes / ma"
Milena Barros,314.602.985-51,73,1950-08-04,RIO GRANDE DO NORTE,"setor miguel pires, 3
ermelinda
63141374 pires / pa"
Murilo Gomes,759.083.641-93,99,1924-05-22,CEARÁ,"morro de castro
vila pilar
68132710 vieira do sul / sp"
Daniel Barbosa,812.035.469-98,28,1995-10-05,DISTRITO FEDERAL,"praça ferreira, 764
vila sumaré
04459429 teixeira da serra / ce"
Dr. Samuel Cardoso,039.124.687-96,47,1977-03-20,DISTRITO FEDERAL,"vereda cauê novaes, 14
conjunto califórnia ii
17511624 caldeira / ba"
Ana Laura Sales,863.247.190-22,78,1945-11-24,RONDÔNIA,"fazenda de pinto, 42
são jorge 1ª seção
94419954 correia de mendes / pr"
Mariana Cunha,492.537.016-25,81,1942-07-24,RORAIMA,"loteamento luiz felipe teixeira, 87
novo ouro preto
09824175 araújo / am"
Sr. João Guilherme Cavalcanti,347.156.029-70,38,1985-09-30,RIO GRANDE DO NORTE,"quadra emanuella da conceição, 29
cruzeiro
48756-294 fogaça de correia / ms"
Kamilly Rocha,365.248.907-10,63,1960-10-29,PIAUÍ,"rodovia danilo costa, 17
alta tensão 2ª seção
93173-991 almeida do oeste / ms"
Gabriel Nunes,940.813.762-04,55,1968-11-21,AMAZONAS,"vila stephany lima
vista do sol
43271006 costa / pa"
Rafael Correia,579.042.183-05,72,1952-01-03,PIAUÍ,"morro de cardoso, 47
marçola
82157940 melo / se"
Ana Lívia Barbosa,925.164.380-60,62,1961-05-30,PARÁ,"lagoa sarah azevedo
monsenhor messias
68691-716 nunes / ce"
Maitê Teixeira,694.815.037-39,90,1933-05-11,RIO GRANDE DO SUL,"loteamento oliveira, 29
camponesa 1ª seção
35499227 da rosa do oeste / pe"
Carlos Eduardo Santos,937.815.426-37,69,1955-03-29,RONDÔNIA,"largo nascimento, 97
delta
00090-218 barbosa / pr"
Enzo Gabriel Araújo,349.682.017-96,70,1953-09-15,RIO GRANDE DO SUL,não informado
Breno Moreira,184.762.950-49,40,1984-03-23,PARANÁ,"aeroporto de das neves, 7
vila sumaré
05152-623 correia das flores / al"
Julia Lopes,106.893.247-31,47,1977-02-13,RORAIMA,"conjunto de cardoso, 5
vila minaslandia
42663-889 castro / pr"
André Lima,645.098.123-70,79,1944-11-06,ALAGOAS,"viaduto cardoso
belmonte
18780-365 monteiro do campo / ro"
João Gabriel Barbosa,190.657.428-67,55,1969-02-23,AMAPÁ,"fazenda de barros
boa esperança
74227859 da costa / df"
,438.765.902-56,21,2002-04-13,CEARÁ,"colônia maria vitória moura
aarão reis
87984-967 rocha de minas / go"
João Felipe Oliveira,830.679.415-00,42,1981-10-18,DISTRITO FEDERAL,"avenida de cardoso
madre gertrudes
39614351 porto do amparo / rn"
Samuel Vieira,218.305.764-53,39,1984-07-02,RORAIMA,"lagoa leandro caldeira, 1
chácara leonina
51972-241 mendes / mt"
Lucca Ferreira,237.984.561-19,86,1938-03-30,PERNAMBUCO,"esplanada de das neves, 5
andiroba
55857-900 moraes do amparo / mg"
Samuel Castro,582.630.419-70,70,1954-02-04,AMAZONAS,"praia eloah da mata, 95
cachoeirinha
76620-467 melo / al"
Maria Vitória Teixeira,426.753.091-25,61,1962-12-16,MATO GROSSO DO SUL,"praia carvalho, 7
vila nova
08272068 costela / pa"
Maria Fernanda Farias,907.143.856-20,22,2001-07-18,RIO GRANDE DO NORTE,"área de correia, 44
chácara leonina
16210070 nunes do sul / am"
Fernanda Sales,879.354.102-32,71,1953-02-05,RIO GRANDE DO SUL,"vale lorenzo almeida, 80
vila mantiqueira
39381-620 alves grande / pe"
Srta. Eduarda Nogueira,602.751.493-07,66,1958-01-13,RONDÔNIA,"chácara isadora das neves
vila da amizade
25121623 ribeiro / pb"
Maitê Ferreira,016.542.973-99,65,1958-04-24,SANTA CATARINA,"estação cunha
calafate
29389355 rocha de gonçalves / pr"
Catarina Pires,079.186.425-11,47,1977-01-28,MATO GROSSO DO SUL,"loteamento de lima, 1
vila primeiro de maio
16602-243 vieira da mata / mt"
Manuela Da Rocha,839.561.470-57,74,1949-05-21,PARAÍBA,"alameda de gonçalves, 79
saudade
47129-674 dias / sp"
Nina Moura,604.173.592-25,46,1977-07-23,ACRE,"quadra bernardo ferreira, 85
marieta 1ª seção
48882-146 lima de barbosa / pa"
Pedro Henrique Vieira,526.839.107-03,42,1981-08-14,PARANÁ,"rodovia alícia dias, 58
vila boa vista
14088-768 campos de porto / rr"
Ana Clara Cunha,862.953.107-02,36,1987-04-09,ESPÍRITO SANTO,"rua de cavalcanti, 8
vila da paz
01240048 souza da serra / ac"
Pietra Santos,508.672.194-67,94,1929-06-14,SANTA CATARINA,"esplanada de silva, 1
vila puc
06033-930 alves de lopes / go"
Sr. Theo Da Conceição,284.517.309-14,25,1998-10-04,SÃO PAULO,"viaduto de freitas, 12
centro
41526-260 da cruz dos dourados / rr"
Vinicius Da Costa,023.916.457-16,65,1958-06-03,SÃO PAULO,"recanto valentina pinto, 52
satelite
97787-119 mendes de barbosa / pa"
Pedro Henrique Cunha,519.304.678-93,58,1965-06-03,PARÁ,"passarela de santos, 501
vila atila de paiva
81047029 oliveira / es"
Davi Nogueira,564.829.170-11,74,1949-12-14,TOCANTINS,"morro lucca da rocha, 40
bandeirantes
05301527 nascimento / ce"
Luiz Fernando Da Paz,409.816.257-11,80,1943-04-30,MATO GROSSO,"praça de da paz, 5
conjunto jardim filadélfia
17691-504 cavalcanti / to"
Srta. Letícia Rocha,137.580.942-32,76,1947-12-01,SERGIPE,"fazenda joão felipe souza, 78
nova pampulha
08184872 cunha / sc"
João Nogueira,367.189.054-10,91,1933-02-22,RIO GRANDE DO NORTE,"rodovia cauê monteiro, 50
heliopolis
61521177 martins paulista / ce"
João Gabriel Cardoso,962.405.713-34,53,1970-07-13,MINAS GERAIS,"área de ferreira, 20
vila independencia 2ª seção
75695006 melo / ac"
Ryan Ribeiro,409.157.683-48,95,1928-12-18,ALAGOAS,"núcleo almeida, 41
vila são paulo
63386-457 novaes / pb"
Olivia Das Neves,314.927.586-55,23,2001-01-27,RORAIMA,"lagoa de vieira, 25
paquetá
66090560 pereira do campo / al"
Sr. Luiz Miguel Pinto,942.816.507-76,55,1968-04-17,SÃO PAULO,"conjunto da luz, 6
chácara leonina
95186702 silva / sc"
Elisa Teixeira,217.439.856-73,79,1944-05-07,RONDÔNIA,"ladeira de rodrigues, 58
vila são francisco
18153-240 da mata / es"
Pedro Miguel Das Neves,523.976.081-03,59,1964-12-15,RIO DE JANEIRO,"jardim de nascimento, 7
engenho nogueira
72911-524 moreira do galho / rs"
Maria Luiza Azevedo,064.253.879-47,76,1947-04-29,SERGIPE,"quadra de da cruz, 42
vila jardim montanhes
11782275 mendes / pe"
Lorenzo Silva,642.397.018-13,47,1976-05-09,AMAZONAS,"conjunto de da cruz, 1
mariano de abreu
82687-160 azevedo de silva / rj"
Bianca Souza,673.295.108-40,97,1926-05-25,BAHIA,"colônia francisco campos, 7
vila betânia
47223-561 da costa do galho / sc"
Vitor Azevedo,643.978.150-20,70,1953-11-01,RORAIMA,"largo de barbosa
vila nova gameleira 1ª seção
37778-485 lima / al"
Enzo Gabriel Lima,187.604.952-94,57,1967-01-28,SANTA CATARINA,"aeroporto rezende
santo antônio
22751419 melo de porto / sp"
Eduarda Cunha,093.821.745-32,59,1964-09-17,SÃO PAULO,"campo de pinto, 72
santana do cafezal
22684962 porto / pi"
Sra. Nicole Da Rocha,367.082.149-03,79,1944-10-10,AMAZONAS,"setor de ferreira, 742
vila antena
59176-949 santos / rr"
Ana Clara Santos,430.629.781-04,35,1988-04-15,PARAÍBA,"ladeira de sales, 15
vila são francisco
18447153 das neves / df"
Enzo Gabriel Castro,694.253.078-65,96,1927-07-11,PIAUÍ,"ladeira de teixeira
são geraldo
49881-890 rodrigues / pb"
Nicole Ferreira,701.839.246-22,28,1996-02-11,AMAZONAS,"aeroporto duarte, 9
funcionários
49849669 silva do sul / es"
Erick Sales,498.357.160-48,37,1986-09-13,CEARÁ,"trecho de martins, 51
vila santa monica 1ª seção
87398-775 nogueira alegre / pr"
Anthony Barros,742.053.618-07,42,1981-10-24,RORAIMA,"vila alexia viana, 87
jardim alvorada
22732-445 moreira / pa"
Renan Da Rocha,986.204.357-10,53,1971-03-08,TOCANTINS,"morro melo, 463
grajaú
18981-145 da conceição / ro"
Marcela Santos,843.196.205-42,24,1999-12-23,GOIÁS,"residencial de aragão, 65
planalto
81955-681 barbosa do sul / rn"
Carolina Melo,970.358.142-05,39,1984-06-06,AMAPÁ,"vereda kamilly da rosa, 80
são geraldo
58360617 castro / sc"
Lavínia Rezende,946.321.085-70,44,1979-08-19,RONDÔNIA,"morro davi luiz correia, 38
vila são paulo
55361364 ferreira do galho / ce"
Srta. Julia Porto,502.731.649-61,75,1948-07-21,AMAZONAS,"distrito ana laura aragão, 90
jardim do vale
37050371 barbosa / ma"
Alana Cardoso,572.934.018-41,32,1991-04-14,RIO GRANDE DO NORTE,"favela gonçalves, 32
cônego pinheiro 1ª seção
62579-612 da costa alegre / pr"
Davi Lucas Cardoso,805.769.423-83,28,1995-11-15,SÃO PAULO,"viela da paz, 92
serra
95443238 correia / mt"
Raul Santos,315.809.267-03,19,2004-09-11,ALAGOAS,"loteamento emanuelly sales, 135
leticia
56249-362 fernandes de peixoto / sp"
Igor Melo,261.730.548-17,46,1978-02-03,TOCANTINS,"favela oliveira, 67
vila copacabana
91636157 rezende / pr"
Joaquim Da Costa,274.039.856-56,76,1947-08-10,AMAPÁ,"condomínio campos, 38
dom bosco
49718775 melo de minas / sp"
João Felipe Farias,936.457.180-01,28,1996-01-11,MATO GROSSO,"estação milena silva, 549
bairro das indústrias ii
77860945 silva / pe"
Manuela Almeida,647.251.980-30,75,1949-01-27,ACRE,"feira alice ramos, 3
são joão batista
84904729 campos paulista / pe"
Ryan Rocha,248.513.096-51,64,1959-10-25,Desconhecido,"passarela nogueira, 8
castelo
08422194 pires de barros / pi"
Luna Da Conceição,935.416.278-91,96,1928-02-19,MATO GROSSO DO SUL,"campo campos, 82
são pedro
10003961 da mata / ma"
Manuela Silva,591.372.846-73,18,2005-09-01,BAHIA,"jardim beatriz farias, 11
acaba mundo
79947-311 farias / al"
Maria Vitória Das Neves,761.450.932-34,96,1928-01-05,MINAS GERAIS,"lagoa cavalcanti
savassi
46594-913 ribeiro do norte / pe"
Marcela Cunha,904.312.587-32,45,1978-06-17,PERNAMBUCO,"rua sales, 4
universo
73420661 rodrigues das pedras / se"
Bryan Souza,593.410.876-00,66,1958-03-05,MARANHÃO,"viaduto thales costela, 23
mala e cuia
14364-941 farias / ba"
Kevin Cavalcanti,658.107.349-01,48,1976-01-29,SERGIPE,"distrito maria moraes, 9
vila paris
34507-199 cardoso / pr"
Sr. João Gabriel Martins,794.682.051-85,74,1949-06-14,MATO GROSSO,"esplanada de moura, 95
boa viagem
73036474 pereira do oeste / ma"
Gabriela Da Mata,746.021.835-90,67,1956-06-16,RORAIMA,"viaduto de peixoto, 16
inconfidência
10719-934 da cruz / ce"
Srta. Júlia Fernandes,650.429.831-98,48,1975-11-19,DISTRITO FEDERAL,"condomínio leandro da mota, 20
jatobá
87409412 cavalcanti da mata / to"
Bárbara Silveira,386.019.472-04,40,1983-12-25,RIO DE JANEIRO,"trevo carvalho
vila paraíso
27781889 vieira de castro / rn"
Vinicius Jesus,549.723.618-91,89,1934-12-08,MINAS GERAIS,"morro de duarte
pindorama
91232749 cunha / rs"
Srta. Alice Pires,536.287.940-56,41,1982-07-08,CEARÁ,"praia ana carolina correia, 11
santa sofia
12204735 rocha alegre / ro"
Lara Ferreira,698.517.304-75,72,1951-10-23,DISTRITO FEDERAL,"rodovia de fogaça, 96
lajedo
51730-878 cardoso do galho / rs"
Felipe Freitas,863.410.759-01,98,1925-04-27,DISTRITO FEDERAL,"rua duarte, 85
vila real 1ª seção
03399083 costa do sul / ac"
Maysa Pires,852.607.149-11,68,1955-10-08,BAHIA,"sítio mariana almeida, 86
carlos prates
09579-357 cavalcanti / pr"
Letícia Da Mata,308.742.169-31,47,1976-08-04,RIO DE JANEIRO,"aeroporto da paz, 54
vila são dimas
26750-505 costa / pr"
Luigi Cunha,623.457.109-34,92,1932-01-24,Desconhecido,"praia nascimento, 541
senhor dos passos
52251-024 cavalcanti do campo / pa"
Lucas Gabriel Gomes,120.476.398-40,20,2004-02-23,PERNAMBUCO,"distrito de cardoso, 24
flamengo
42222117 jesus da prata / pi"
Emanuelly Costela,152.490.783-97,46,1977-10-21,RORAIMA,"vale de vieira, 67
suzana
02233962 alves / pa"
Calebe Nascimento,631.974.802-87,85,1939-02-25,BAHIA,"trecho brenda ferreira, 25
lagoinha
22650-581 da luz / rj"
Juan Pires,139.648.572-46,76,1948-03-12,GOIÁS,"avenida de santos, 89
são pedro
54483394 moraes da mata / ms"
Lívia Costa,582.793.041-50,81,1942-10-18,RIO GRANDE DO NORTE,"loteamento oliveira, 12
vila da ária
56184582 pires / am"
Davi Lucas Nunes,679.802.341-03,21,2003-01-07,PIAUÍ,"vila viana, 68
nova cintra
01930898 porto / am"
Dr. Lucca Oliveira,806.759.431-75,89,1934-06-24,RIO DE JANEIRO,"passarela jesus, 34
vila jardim montanhes
90668-539 azevedo / pb"
Eduardo Monteiro,037.529.468-65,61,1962-11-09,CEARÁ,"viaduto caldeira
vila nova paraíso
26625-312 oliveira do galho / pe"
Diogo Moraes,571.463.209-52,47,1977-01-12,MARANHÃO,"sítio aragão, 73
aguas claras
39221-650 barros / rj"
Felipe Freitas,657.014.938-57,18,2005-12-08,GOIÁS,"área gabriela nascimento
ermelinda
91481282 silveira / rr"
Ryan Peixoto,830.126.594-98,27,1996-08-25,PARÁ,"estrada agatha correia, 79
xodo-marize
53021-431 azevedo alegre / to"
Otávio Pires,526.170.894-01,25,1998-07-16,RONDÔNIA,"pátio ribeiro, 33
vila oeste
74852-896 barros da mata / ms"
Thiago Moreira,023.671.984-03,61,1963-01-11,RIO GRANDE DO SUL,"residencial rebeca da paz, 43
santa inês
11614338 lima do sul / sc"
Pietro Lopes,428.657.913-19,61,1962-04-24,PARAÍBA,"aeroporto moura, 81
salgado filho
80405-323 moura do galho / sp"
Gabriela Gomes,317.820.469-50,42,1981-04-13,PIAUÍ,"parque mariane araújo, 1
flamengo
01839098 aragão / ro"
João Miguel Viana,183.527.069-77,23,2000-05-27,Desconhecido,"estrada de carvalho, 309
funcionários
12346-410 da luz / df"
Sr. Luiz Henrique Nunes,031.879.256-77,76,1948-03-17,TOCANTINS,"via da cunha, 11
sport club
89823119 costela da mata / to"
Srta. Ana Sophia Viana,937.802.651-68,29,1995-02-18,PARÁ,"rodovia agatha cavalcanti, 27
santo antônio
57644125 ribeiro / ap"
Sr. Marcelo Aragão,418.379.602-40,85,1938-04-06,PIAUÍ,"praça raul pires
maria virgínia
04343-264 cunha / to"
Enzo Gabriel Da Mota,018.326.459-24,30,1993-09-22,MINAS GERAIS,"vila farias
braúnas
89867214 nogueira do sul / se"
Benjamin Da Rosa,195.728.306-86,99,1924-07-29,PARANÁ,"núcleo maria luiza novaes, 100
xangri-lá
43844226 moura da prata / rj"
Ana Rezende,316.749.285-64,68,1955-10-15,RIO GRANDE DO NORTE,"esplanada de da cruz, 73
eymard
71825-419 nascimento / pe"
Dr. Thomas Dias,267.984.310-03,45,1979-01-13,PARAÍBA,"jardim ana carolina da mota, 6
vila petropolis
53256-274 moura / ap"
Breno Ribeiro,803.946.721-78,38,1985-10-05,MATO GROSSO,"vereda de costela, 27
vila de sá
07317531 freitas / mg"
Lucas Gabriel Novaes,856.074.129-11,41,1982-09-04,CEARÁ,"trevo manuela jesus, 927
ipe
96781793 carvalho / sc"
Vicente Rodrigues,328.147.905-79,85,1938-12-18,RONDÔNIA,"chácara cardoso, 14
vila aeroporto
82122066 fogaça / rn"
João Lucas Vieira,985.724.301-05,38,1985-10-18,MARANHÃO,"praça de oliveira, 35
conjunto santa maria
00397-858 barros dos dourados / rn"
Dr. Luiz Henrique Freitas,951.720.438-88,47,1976-11-07,PARÁ,"residencial luigi duarte, 6
manacas
80721305 aragão / sc"
Dra. Luiza Da Conceição,189.032.564-33,96,1927-04-29,CEARÁ,"núcleo de ferreira, 77
lagoa
66120668 freitas do norte / pr"
Benjamin Cavalcanti,317.024.958-41,26,1997-11-30,CEARÁ,"área de fernandes, 37
vila são dimas
93804-699 pereira / mt"
Murilo Mendes,653.748.201-17,77,1946-04-20,SERGIPE,"loteamento porto, 4
vila santo antônio
40994-158 jesus / se"
Dr. Renan Rezende,609.342.875-38,65,1958-12-16,SANTA CATARINA,"área de ribeiro, 688
vila vista alegre
53424631 viana / pr"
Maysa Porto,081.395.764-84,68,1955-09-11,BAHIA,"pátio carlos eduardo azevedo, 76
havaí
05920919 cardoso do norte / ro"
Pedro Lucas Pereira,873.421.560-35,84,1940-01-09,SANTA CATARINA,"quadra almeida, 83
paquetá
47111-767 ferreira / ce"
Isadora Nogueira,480.321.579-05,50,1974-01-09,RIO DE JANEIRO,"feira almeida, 72
vila são dimas
54779-178 nogueira da mata / rj"
Gabriel Ramos,591.874.320-05,76,1947-08-23,MATO GROSSO,"viaduto de freitas, 46
novo glória
68461-422 da mata do campo / to"
Yago Ferreira,531.842.796-00,87,1936-05-30,ACRE,"ladeira agatha almeida, 27
vila copacabana
72789380 santos de cardoso / rs"
Samuel Da Mata,521.740.968-11,21,2002-11-30,PARANÁ,"residencial cavalcanti, 50
grota
42720-953 costela / mg"
Sophie Pinto,317.480.529-50,94,1929-07-19,SANTA CATARINA,"colônia bryan costela, 404
suzana
19834-441 rocha / se"
Dr. Rafael Souza,436.750.218-07,45,1979-02-03,AMAZONAS,"rodovia de moreira, 6
santo agostinho
88797976 melo de rodrigues / am"
