cpf,idade,endereco,bairro,estado
..***.***53,41.0,"lagoa leandro caldeira, 1",chácara leonina,MT
..***.***19,86.0,"esplanada de das neves, 5",andiroba,MG
..***.***70,71.0,"praia eloah da mata, 95",cachoeirinha,AL
..***.***25,63.0,"praia carvalho, 7",vila nova,PA
..***.***20,24.0,"área de correia, 44",chácara leonina,AM
..***.***32,72.0,"vale lorenzo almeida, 80",vila mantiqueira,PE
..***.***07,67.0,chácara isadora das neves,vila da amizade,PB
..***.***99,67.0,estação cunha,calafate,PR
..***.***11,48.0,"loteamento de lima, 1",vila primeiro de maio,MT
..***.***57,76.0,"alameda de gonçalves, 79",saudade,SP
..***.***25,48.0,"quadra bernardo ferreira, 85",marieta 1ª seção,PA
..***.***03,44.0,"rodovia alícia dias, 58",vila boa vista,RR
..***.***02,38.0,"rua de cavalcanti, 8",vila da paz,AC
..***.***67,96.0,"esplanada de silva, 1",vila puc,GO
..***.***14,27.0,"viaduto de freitas, 12",centro,RR
..***.***16,67.0,"recanto valentina pinto, 52",satelite,PA
..***.***93,60.0,"passarela de santos, 501",vila atila de paiva,ES
..***.***11,76.0,"morro lucca da rocha, 40",bandeirantes,CE
..***.***11,81.0,"praça de da paz, 5",conjunto jardim filadélfia,TO
..***.***32,78.0,"fazenda joão felipe souza, 78",nova pampulha,SC
..***.***10,92.0,"rodovia cauê monteiro, 50",heliopolis,CE
..***.***34,55.0,"área de ferreira, 20",vila independencia 2ª seção,AC
..***.***48,97.0,"núcleo almeida, 41",vila são paulo,PB
..***.***55,24.0,"lagoa de vieira, 25",paquetá,AL
..***.***76,57.0,"conjunto da luz, 6",chácara leonina,SC
..***.***73,81.0,"ladeira de rodrigues, 58",vila são francisco,ES
..***.***03,61.0,"jardim de nascimento, 7",engenho nogueira,RS
..***.***47,77.0,"quadra de da cruz, 42",vila jardim montanhes,PE
..***.***13,49.0,"conjunto de da cruz, 1",mariano de abreu,RJ
..***.***40,98.0,"colônia francisco campos, 7",vila betânia,SC
..***.***20,72.0,largo de barbosa,vila nova gameleira 1ª seção,AL
..***.***94,58.0,aeroporto rezende,santo antônio,SP
..***.***32,61.0,"campo de pinto, 72",santana do cafezal,PI
..***.***03,81.0,"setor de ferreira, 742",vila antena,RR
..***.***04,37.0,"ladeira de sales, 15",vila são francisco,DF
..***.***65,98.0,ladeira de teixeira,são geraldo,PB
..***.***22,29.0,"aeroporto duarte, 9",funcionários,ES
..***.***48,39.0,"trecho de martins, 51",vila santa monica 1ª seção,PR
..***.***07,44.0,"vila alexia viana, 87",jardim alvorada,PA
..***.***10,54.0,"morro melo, 463",grajaú,RO
..***.***42,26.0,"residencial de aragão, 65",planalto,RN
..***.***05,41.0,"vereda kamilly da rosa, 80",são geraldo,SC
..***.***70,46.0,"morro davi luiz correia, 38",vila são paulo,CE
..***.***61,77.0,"distrito ana laura aragão, 90",jardim do vale,MA
..***.***41,34.0,"favela gonçalves, 32",cônego pinheiro 1ª seção,PR
..***.***83,30.0,"viela da paz, 92",serra,MT
..***.***03,21.0,"loteamento emanuelly sales, 135",leticia,SP
..***.***17,47.0,"favela oliveira, 67",vila copacabana,PR
..***.***56,78.0,"condomínio campos, 38",dom bosco,SP
..***.***01,29.0,"estação milena silva, 549",bairro das indústrias ii,PE
..***.***30,76.0,"feira alice ramos, 3",são joão batista,PE
..***.***51,65.0,"passarela nogueira, 8",castelo,PI
..***.***91,97.0,"campo campos, 82",são pedro,MA
..***.***73,20.0,"jardim beatriz farias, 11",acaba mundo,AL
..***.***34,97.0,lagoa cavalcanti,savassi,PE
..***.***32,47.0,"rua sales, 4",universo,SE
..***.***00,67.0,"viaduto thales costela, 23",mala e cuia,BA
..***.***01,49.0,"distrito maria moraes, 9",vila paris,PR
..***.***85,76.0,"esplanada de moura, 95",boa viagem,MA
..***.***90,69.0,"viaduto de peixoto, 16",inconfidência,CE
..***.***98,50.0,"condomínio leandro da mota, 20",jatobá,TO
..***.***04,41.0,trevo carvalho,vila paraíso,RN
..***.***91,91.0,morro de duarte,pindorama,RS
..***.***56,43.0,"praia ana carolina correia, 11",santa sofia,RO
..***.***75,74.0,"rodovia de fogaça, 96",lajedo,RS
..***.***01,99.0,"rua duarte, 85",vila real 1ª seção,AC
..***.***11,70.0,"sítio mariana almeida, 86",carlos prates,PR
..***.***31,49.0,"aeroporto da paz, 54",vila são dimas,PR
..***.***34,93.0,"praia nascimento, 541",senhor dos passos,PA
..***.***40,21.0,"distrito de cardoso, 24",flamengo,PI
..***.***97,48.0,"vale de vieira, 67",suzana,PA
..***.***87,86.0,"trecho brenda ferreira, 25",lagoinha,RJ
..***.***46,77.0,"avenida de santos, 89",são pedro,MS
..***.***50,83.0,"loteamento oliveira, 12",vila da ária,AM
..***.***03,22.0,"vila viana, 68",nova cintra,AM
..***.***75,91.0,"passarela jesus, 34",vila jardim montanhes,PB
..***.***65,63.0,viaduto caldeira,vila nova paraíso,PE
..***.***52,48.0,"sítio aragão, 73",aguas claras,RJ
..***.***57,20.0,área gabriela nascimento,ermelinda,RR
..***.***98,28.0,"estrada agatha correia, 79",xodo-marize,TO
..***.***01,27.0,"pátio ribeiro, 33",vila oeste,MS
..***.***03,62.0,"residencial rebeca da paz, 43",santa inês,SC
..***.***19,63.0,"aeroporto moura, 81",salgado filho,SP
..***.***50,44.0,"parque mariane araújo, 1",flamengo,RO
..***.***77,24.0,"estrada de carvalho, 309",funcionários,DF
..***.***77,77.0,"via da cunha, 11",sport club,TO
..***.***68,30.0,"rodovia agatha cavalcanti, 27",santo antônio,AP
..***.***40,87.0,praça raul pires,maria virgínia,TO
..***.***24,32.0,vila farias,braúnas,SE
..***.***86,100.0,"núcleo maria luiza novaes, 100",xangri-lá,RJ
..***.***64,70.0,"esplanada de da cruz, 73",eymard,PE
..***.***03,46.0,"jardim ana carolina da mota, 6",vila petropolis,AP
..***.***78,40.0,"vereda de costela, 27",vila de sá,MG
..***.***11,43.0,"trevo manuela jesus, 927",ipe,SC
..***.***79,87.0,"chácara cardoso, 14",vila aeroporto,RN
..***.***05,40.0,"praça de oliveira, 35",conjunto santa maria,RN
..***.***88,49.0,"residencial luigi duarte, 6",manacas,SC
..***.***33,97.0,"núcleo de ferreira, 77",lagoa,PR
..***.***41,27.0,"área de fernandes, 37",vila são dimas,MT
..***.***17,79.0,"loteamento porto, 4",vila santo antônio,SE
..***.***38,67.0,"área de ribeiro, 688",vila vista alegre,PR
..***.***84,70.0,"pátio carlos eduardo azevedo, 76",havaí,RO
..***.***35,85.0,"quadra almeida, 83",paquetá,CE
..***.***05,51.0,"feira almeida, 72",vila são dimas,RJ
..***.***05,78.0,"viaduto de freitas, 46",novo glória,TO
..***.***00,88.0,"ladeira agatha almeida, 27",vila copacabana,RS
..***.***11,22.0,"residencial cavalcanti, 50",grota,MG
..***.***50,96.0,"colônia bryan costela, 404",suzana,SE
..***.***07,46.0,"rodovia de moreira, 6",santo agostinho,AM
..***.***80,86.0,"esplanada oliveira, 654",serra,PR
..***.***50,22.0,"rodovia thomas santos, 48",vila suzana segunda seção,AM
..***.***00,95.0,"vila milena porto, 70",marieta 1ª seção,RO
..***.***46,98.0,"lagoa rebeca novaes, 77",são jorge 1ª seção,SE
..***.***94,65.0,"núcleo sales, 59",novo das industrias,PE
..***.***17,78.0,"feira sales, 82",coração eucarístico,AL
..***.***37,27.0,"colônia de azevedo, 22",centro,CE
..***.***41,32.0,alameda fernandes,são salvador,AM
..***.***86,31.0,"estrada de castro, 671",trevo,PI
..***.***04,53.0,"trecho calebe ferreira, 902",funcionários,AL
..***.***98,49.0,"chácara joão gabriel correia, 983",vila batik,ES
..***.***33,47.0,"lago maria cecília dias, 93",marçola,MG
..***.***70,20.0,via de santos,delta,DF
..***.***52,19.0,"viela mariana ferreira, 867",cidade jardim taquaril,AL
..***.***44,35.0,"via caio carvalho, 11",inconfidência,AM
..***.***93,94.0,residencial joão guilherme campos,vila paraíso,PR
..***.***56,45.0,"vereda jesus, 420",monsenhor messias,DF
..***.***55,83.0,"setor de da mata, 49",zilah sposito,PI
..***.***67,45.0,"rua lavínia da rosa, 9",pedreira padro lopes,TO
..***.***30,93.0,"setor de santos, 49",itatiaia,SP
..***.***66,65.0,"parque thomas nogueira, 74",outro,AM
..***.***23,27.0,"viela de mendes, 45",jardim leblon,AM
..***.***24,84.0,"loteamento barbosa, 28",vila madre gertrudes 2ª seção,RO
..***.***04,44.0,"trevo barros, 87",chácara leonina,PR
..***.***29,20.0,"lagoa isabella viana, 20",zilah sposito,PR
..***.***02,25.0,"fazenda rezende, 619",vila da paz,PI
..***.***33,49.0,praça souza,santa inês,SC
..***.***39,31.0,"praça almeida, 81",são bento,MT
..***.***59,39.0,"vila martins, 7",casa branca,PA
..***.***02,69.0,"passarela de pires, 6",olhos d'água,MS
..***.***60,89.0,"aeroporto lavínia porto, 29",barreiro,RR
..***.***60,72.0,"parque de aragão, 76",cachoeirinha,ES
..***.***00,44.0,"vale ramos, 60",vila santo antônio,RR
..***.***48,77.0,loteamento nascimento,engenho nogueira,PA
..***.***87,78.0,"esplanada joão guilherme barbosa, 39",barão homem de melo 2ª seção,AL
..***.***28,32.0,parque nascimento,vila minaslandia,AL
..***.***88,77.0,"largo alves, 654",vera cruz,MS
..***.***38,52.0,"trevo de azevedo, 36",vila barragem santa lúcia,PR
..***.***77,28.0,"área de barros, 4",vila mangueiras,CE
..***.***60,84.0,"setor arthur barros, 58",vera cruz,MT
..***.***05,50.0,"largo gomes, 85",vila da paz,PB
..***.***25,55.0,"praia agatha cardoso, 1",lagoinha,PI
..***.***60,79.0,"via novaes, 81",vila são paulo,MT
..***.***83,90.0,"pátio castro, 51",vila trinta e um de março,ES
..***.***50,55.0,"campo lima, 42",conjunto califórnia ii,PE
..***.***89,62.0,"esplanada rafael viana, 38",apolonia,MG
..***.***89,21.0,"travessa beatriz fogaça, 47",fernão dias,RN
..***.***84,87.0,"praça correia, 3",canadá,RJ
..***.***57,61.0,"viela maria cecília viana, 44",vila copacabana,PA
..***.***17,37.0,"vila nina moura, 41",vila santo antônio,PA
..***.***34,61.0,"núcleo carvalho, 87",piraja,PI
..***.***80,52.0,"rodovia de da luz, 710",saudade,RO
..***.***57,27.0,residencial beatriz lopes,ermelinda,RN
..***.***03,69.0,"aeroporto de ferreira, 9",senhor dos passos,AC
..***.***25,31.0,"chácara da luz, 27",bonfim,SP
..***.***06,48.0,núcleo cardoso,barreiro,TO
..***.***51,44.0,"residencial de ribeiro, 11",vila santa rosa,GO
..***.***61,33.0,"aeroporto de campos, 63",são gabriel,PB
..***.***70,32.0,loteamento de rodrigues,santa cecilia,GO
..***.***66,53.0,"vale pinto, 70",esplanada,PI
..***.***06,67.0,"vale costela, 5",parque são josé,SP
..***.***90,81.0,"jardim de barros, 111",caiçara - adelaide,TO
..***.***01,77.0,"pátio da rocha, 793",vila rica,ES
..***.***47,95.0,"setor samuel porto, 99",bairro das indústrias ii,AM
..***.***70,66.0,"via diego lima, 60",distrito industrial do jatoba,AP
..***.***83,76.0,"área joão lucas lima, 997",são benedito,RO
..***.***00,47.0,"praia vitor gabriel cunha, 89",concórdia,SC
..***.***22,59.0,viaduto juliana nogueira,trevo,BA
..***.***68,49.0,"passarela moura, 85",vila rica,DF
..***.***00,31.0,"condomínio de sales, 62",são bernardo,PB
..***.***93,34.0,"estação de ribeiro, 893",zilah sposito,SP
..***.***53,83.0,Endereço inválido,Desconhecido,Estado inválido
..***.***39,57.0,"estrada ana ramos, 10",novo tupi,GO
..***.***66,62.0,"estação de azevedo, 639",vila antena montanhês,MS
..***.***06,89.0,"viaduto eduarda pinto, 76",pousada santo antonio,RS
..***.***23,85.0,morro lavínia almeida,esperança,AP
..***.***09,98.0,"travessa oliveira, 28",minas brasil,MA
..***.***64,89.0,"conjunto de souza, 842",petropolis,TO
..***.***90,46.0,"quadra de fogaça, 57",vila nova gameleira 3ª seção,PE
..***.***53,71.0,"estrada de carvalho, 52",conjunto jardim filadélfia,GO
..***.***06,31.0,"travessa melo, 5",biquinhas,ES
..***.***74,41.0,"largo de rodrigues, 19",campo alegre,DF
..***.***77,51.0,área nogueira,solimoes,PE
..***.***03,94.0,estação mendes,colégio batista,PR
..***.***76,98.0,"passarela de carvalho, 69",coração de jesus,SE
..***.***28,27.0,"morro de nascimento, 17",coqueiros,MG
..***.***30,22.0,"largo viana, 3",vila fumec,PE
..***.***17,73.0,"loteamento de viana, 65",conjunto novo dom bosco,PI
..***.***02,90.0,"feira gustavo nascimento, 911",vila calafate,RS
..***.***40,50.0,vereda cunha,jardim do vale,ES
..***.***08,49.0,"aeroporto augusto das neves, 847",maria helena,TO
..***.***02,100.0,"feira fogaça, 914",vila dos anjos,PI
..***.***49,56.0,"estação moraes, 13",carmo,MG
..***.***94,92.0,"feira maria julia costela, 21",mariano de abreu,MG
..***.***15,68.0,"loteamento de lima, 16",conjunto providencia,SE
..***.***55,65.0,"rodovia pires, 57",vila de sá,SP
..***.***03,96.0,pátio carvalho,vila primeiro de maio,AP
..***.***05,61.0,"parque melo, 462",vila cloris,GO
..***.***57,63.0,"alameda vitor gabriel lopes, 52",pedreira padro lopes,MS
..***.***50,35.0,"campo de campos, 83",vila tirol,RN
..***.***51,54.0,"passarela oliveira, 48",santa monica,RO
..***.***65,81.0,"via letícia nunes, 280",monsenhor messias,AL
..***.***13,44.0,"travessa ribeiro, 92",pindorama,GO
..***.***48,52.0,"conjunto eduardo da paz, 2",dom joaquim,AP
..***.***08,39.0,"feira clara lima, 5",vila independencia 3ª seção,MA
..***.***86,79.0,"núcleo de rocha, 9",sport club,SP
..***.***12,22.0,"vila de freitas, 80",santo antônio,AC
..***.***94,48.0,"fazenda de lima, 95",vila das oliveiras,RJ
..***.***76,76.0,"ladeira caldeira, 5",vila paris,AC
..***.***87,36.0,"travessa ana lívia da mata, 63",madri,ES
..***.***90,89.0,"residencial costa, 9",cidade jardim taquaril,SE
..***.***51,26.0,"colônia monteiro, 49",europa,MT
..***.***44,32.0,"lagoa das neves, 36",marçola,BA
..***.***33,53.0,"esplanada souza, 437",álvaro camargos,MG
..***.***53,69.0,"favela de carvalho, 28",confisco,RS
..***.***30,74.0,"praça caroline almeida, 19",conjunto bonsucesso,DF
..***.***95,73.0,"lagoa de fogaça, 92",pantanal,MG
..***.***34,69.0,"vale ana julia porto, 19",alto barroca,MG
..***.***89,95.0,"residencial de cunha, 20",santana do cafezal,PB
..***.***80,68.0,"travessa lucca carvalho, 38",aeroporto,RO
..***.***12,55.0,aeroporto ana clara oliveira,indaiá,AM
..***.***47,39.0,"praia de da mata, 18",são jorge 3ª seção,RJ
..***.***90,58.0,"favela de azevedo, 62",lindéia,MA
..***.***07,80.0,"loteamento ferreira, 493",lagoa,PI
..***.***30,26.0,"campo vinicius campos, 2",conjunto são francisco de assis,MG
..***.***00,46.0,"condomínio bruna mendes, 55",pongelupe,CE
..***.***03,33.0,"loteamento freitas, 30",primeiro de maio,SP
..***.***97,23.0,"trecho de freitas, 8",vila piratininga venda nova,TO
..***.***92,66.0,"alameda de da rosa, 2",são salvador,PE
..***.***20,100.0,"largo juliana barbosa, 182",concórdia,RN
..***.***28,50.0,viela de da paz,minaslandia,PE
..***.***73,37.0,"passarela joão lucas nogueira, 753",são pedro,PE
..***.***60,82.0,"campo vinicius silva, 27",lagoinha,AC
..***.***55,26.0,"viaduto de castro, 65",jardim vitoria,RR
..***.***73,52.0,"estrada de rocha, 305",lourdes,PE
..***.***49,97.0,"pátio lopes, 1",varzea da palma,AM
..***.***79,88.0,"recanto gustavo pereira, 77",santo antônio,PE
..***.***60,33.0,"largo kevin barbosa, 2",vila da ária,MG
..***.***22,31.0,recanto azevedo,vila cloris,CE
..***.***87,51.0,"trecho igor barros, 77",mariano de abreu,ES
..***.***22,95.0,alameda de pinto,pousada santo antonio,RS
..***.***90,65.0,"trevo rezende, 51",bela vitoria,MG
..***.***07,55.0,"estação de freitas, 32",corumbiara,RR
..***.***86,31.0,distrito rocha,luxemburgo,CE
..***.***89,29.0,"recanto silveira, 47",olhos d'água,ES
..***.***78,72.0,"residencial de pires, 28",laranjeiras,RS
..***.***10,39.0,"distrito de lopes, 397",alto dos pinheiros,MS
..***.***00,89.0,"feira cardoso, 21",conjunto minas caixa,RN
..***.***67,42.0,"conjunto daniel fernandes, 403",garças,GO
..***.***53,59.0,"parque maitê santos, 42",boa viagem,RS
..***.***41,22.0,"quadra de da mota, 62",alto caiçaras,MG
..***.***02,32.0,"viaduto jesus, 11",conjunto jatoba,DF
..***.***14,55.0,"alameda anthony fogaça, 11",mantiqueira,RS
..***.***80,31.0,"quadra de fogaça, 28",pantanal,PI
..***.***15,45.0,fazenda caldeira,satelite,AM
..***.***39,56.0,vila alves,jardim atlântico,DF
..***.***09,76.0,"feira enrico nogueira, 1",itaipu,PB
..***.***64,94.0,"rua pedro miguel da luz, 95",nossa senhora do rosário,PA
..***.***32,63.0,vila de da mata,cônego pinheiro 2ª seção,CE
..***.***44,64.0,"sítio de cardoso, 88",acaiaca,RS
..***.***74,39.0,"jardim maria sophia ferreira, 95",vila nova paraíso,CE
..***.***21,27.0,"praça de castro, 980",ernesto nascimento,SE
..***.***83,24.0,"praça olivia silveira, 49",novo das industrias,AC
..***.***62,24.0,"área de barros, 86",boa esperança,RN
..***.***51,77.0,"alameda gustavo henrique gonçalves, 50",beija flor,RJ
..***.***84,23.0,"jardim de lopes, 7",planalto,AM
..***.***13,44.0,"alameda de da mota, 94",vila paquetá,CE
..***.***82,86.0,"lagoa milena ramos, 4",caiçara - adelaide,AM
..***.***40,48.0,"setor da cunha, 39",jardim montanhês,RJ
..***.***71,27.0,"área peixoto, 32",flavio de oliveira,SE
..***.***73,58.0,"vereda matheus azevedo, 2",serrano,AC
..***.***87,85.0,"praia raul campos, 12",conjunto providencia,CE
..***.***87,51.0,"jardim enzo da paz, 47",vila ouro minas,PR
..***.***92,44.0,"vale oliveira, 22",nova suíça,RS
..***.***33,52.0,"conjunto maria vitória da cunha, 59",serra do curral,MG
..***.***22,57.0,"alameda maria fernanda castro, 87",maravilha,PI
..***.***00,74.0,"praça de moraes, 588",nova america,PA
..***.***42,36.0,"jardim de ramos, 69",vila nova gameleira 3ª seção,PA
..***.***52,47.0,"quadra mendes, 42",vila pinho,GO
..***.***75,42.0,"campo marcela silveira, 66",álvaro camargos,AM
..***.***79,88.0,"fazenda de moraes, 637",buraco quente,PR
..***.***91,21.0,"recanto alves, 105",saudade,RR
..***.***03,56.0,"lago jesus, 71",frei leopoldo,MA
..***.***05,52.0,esplanada cauã teixeira,jardim américa,SP
..***.***06,54.0,"praia heitor castro, 6",jardim leblon,MS
..***.***16,63.0,"viela benjamin campos, 1",pompéia,CE
..***.***50,48.0,"núcleo castro, 7",maria helena,BA
..***.***12,56.0,"estrada lucas gabriel caldeira, 856",joão pinheiro,MG
..***.***90,34.0,"trecho freitas, 427",alto dos pinheiros,AP
..***.***15,40.0,via ribeiro,flavio de oliveira,PR
..***.***85,48.0,"lago silva, 75",vila oeste,AC
..***.***73,87.0,"travessa duarte, 59",brasil industrial,RO
..***.***28,68.0,favela sarah porto,conjunto são francisco de assis,DF
..***.***68,29.0,"morro enzo gabriel teixeira, 84",mirtes,RS
..***.***20,45.0,"área da mota, 13",minas caixa,AP
..***.***17,53.0,"viaduto de moreira, 1",vera cruz,DF
..***.***99,22.0,"núcleo luiz gustavo costela, 99",juliana,SE
..***.***38,53.0,via araújo,são cristóvão,SE
..***.***93,97.0,lago de cardoso,santa cecilia,MG
..***.***43,49.0,viaduto de cardoso,inconfidência,PA
..***.***71,21.0,"quadra de da mata, 49",ouro minas,MT
..***.***15,92.0,"núcleo araújo, 155",lindéia,PA
..***.***85,58.0,"estação silva, 18",serra,AM
..***.***08,100.0,"praia lavínia moraes, 29",conjunto jatoba,RJ
..***.***23,55.0,"fazenda rafaela costela, 37",havaí,CE
..***.***62,56.0,"fazenda ferreira, 849",lagoa,AP
..***.***75,100.0,"residencial alana dias, 51",vitoria,TO
..***.***73,24.0,"rua evelyn da cunha, 2",alta tensão 1ª seção,ES
..***.***00,57.0,"fazenda de duarte, 99",são sebastião,AC
..***.***52,59.0,"trevo de da costa, 7",esplanada,AC
..***.***05,36.0,"vale erick moreira, 48",vila nova cachoeirinha 2ª seção,AP
..***.***40,61.0,"parque de moraes, 36",gutierrez,TO
..***.***87,82.0,"passarela lima, 87",jatobá,RJ
..***.***57,75.0,pátio vitor gabriel rocha,são joão batista,SC
..***.***00,35.0,"rodovia agatha lopes, 7",vila são gabriel,DF
..***.***30,81.0,"aeroporto de ferreira, 2",santa helena,CE
..***.***49,100.0,"trevo aragão, 535",salgado filho,GO
..***.***22,60.0,"avenida ferreira, 7",antonio ribeiro de abreu 1ª seção,DF
..***.***71,39.0,viaduto marcelo ramos,universo,SP
..***.***08,25.0,"núcleo silva, 7",jaraguá,CE
..***.***05,45.0,"rodovia de freitas, 782",parque são josé,SC
..***.***56,35.0,"quadra silveira, 76",joão paulo ii,MG
..***.***83,37.0,"conjunto da rosa, 22",pindura saia,MS
..***.***49,87.0,parque rodrigues,vila da amizade,RO
..***.***46,45.0,"lagoa porto, 44",unidas,GO
..***.***85,54.0,"vila sales, 913",bela vitoria,SP
..***.***84,56.0,"setor peixoto, 47",palmeiras,SE
..***.***87,80.0,"parque luiz gustavo da conceição, 34",santa margarida,RS
..***.***15,49.0,"lago de rocha, 482",belmonte,PE
..***.***67,23.0,recanto maitê pereira,vila suzana primeira seção,DF
..***.***53,60.0,"feira otávio pereira, 93",piraja,RR
..***.***13,46.0,"trecho joão gabriel pires, 64",nova pampulha,RS
..***.***70,87.0,"praça de ribeiro, 9",santa inês,SP
..***.***60,75.0,passarela de caldeira,vila sesc,AP
..***.***00,31.0,estrada danilo monteiro,conjunto califórnia ii,BA
